,Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Sugar Alcohol,Protein,Vitamin A,Vitamin C,Calcium,Iron,class
0,149.0,0,0.0,0.0,0.0,0.0,0,9.0,9.8,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
1,123.0,0,0.0,0.0,0.0,0.0,0,5.0,6.6,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
2,150.0,0,0.0,0.0,0.0,0.0,0,4.0,11.4,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
3,110.0,0,0.0,0.0,0.0,0.0,0,6.0,7.0,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
4,143.0,0,0.0,0.0,0.0,0.0,0,7.0,13.1,0.0,0.0,0,1.0,0,0,0,0,'In Moderation'
5,110.0,0,0.0,0.0,0.0,0.0,0,6.0,7.0,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
6,142.0,0,0.0,0.0,0.0,0.0,0,12.0,10.6,0.0,0.0,0,1.2,0,0,0,0,'In Moderation'
7,102.0,0,0.0,0.0,0.0,0.0,0,13.0,5.0,0.0,0.0,0,0.7,0,0,0,0,'In Moderation'
8,145.0,0,0.0,0.0,0.0,0.0,0,17.0,11.0,0.0,0.0,0,1.2,0,0,0,0,'In Moderation'
9,171.0,0,0.0,0.0,0.0,0.0,0,8.0,13.7,0.0,0.0,0,2.5,0,0,0,0,'In Moderation'
10,145.0,0,0.0,0.0,0.0,0.0,0,0.0,10.6,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
11,110.0,0,0.0,0.0,0.0,0.0,0,0.0,6.6,0.0,0.0,0,0.9,0,0,0,0,'In Moderation'
12,148.0,0,0.0,0.0,0.0,0.0,0,0.0,8.9,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
13,110.0,0,0.0,0.0,0.0,0.0,0,0.0,6.5,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
14,130.0,0,0.0,0.0,0.0,0.0,0,0.0,7.8,0.0,0.0,0,1.1,0,0,0,0,'In Moderation'
15,99.0,0,0.0,0.0,0.0,0.0,0,0.0,3.1,0.0,0.0,0,0.7,0,0,0,0,'Less Often'
16,208.0,0,0.0,0.0,0.0,0.0,0,5.0,26.8,0.0,0.0,0,1.5,0,0,0,0,'Less Often'
17,207.0,0,0.0,0.0,0.0,0.0,0,9.0,28.0,0.0,0.0,0,1.1,0,0,0,0,'Less Often'
18,194.0,0,0.0,0.0,0.0,0.0,0,12.0,18.8,0.0,0.0,0,1.8,0,0,0,0,'Less Often'
19,170.0,0,0.0,0.0,0.0,0.0,0,7.0,16.8,0.0,0.0,0,1.4,0,0,0,0,'Less Often'
20,149.0,0,0.0,0.0,0.0,0.0,0,5.0,12.0,0.0,0.0,0,1.3,0,0,0,0,'Less Often'
21,105.0,0,0.0,0.0,0.0,0.0,0,6.0,5.7,0.0,0.0,0,0.8,0,0,0,0,'Less Often'
22,170.0,0,0.0,0.0,0.0,0.0,0,8.0,17.8,0.0,0.0,0,1.6,0,0,0,0,'Less Often'
23,152.0,0,0.0,0.0,0.0,0.0,0,6.0,13.9,0.0,0.0,0,1.0,0,0,0,0,'Less Often'
24,166.0,0,0.0,0.0,0.0,0.0,0,8.0,16.2,0.0,0.0,0,1.4,0,0,0,0,'Less Often'
25,165.0,0,0.0,0.0,0.0,0.0,0,11.0,16.0,0.0,0.0,0,1.7,0,0,0,0,'Less Often'
26,157.0,0,0.0,0.0,0.0,0.0,0,10.0,11.2,0.0,0.0,0,1.2,0,0,0,0,'Less Often'
27,157.0,0,0.0,0.0,0.0,0.0,0,10.0,11.2,0.0,0.0,0,1.2,0,0,0,0,'Less Often'
28,157.0,0,0.0,0.0,0.0,0.0,0,10.0,11.8,0.0,0.0,0,1.2,0,0,0,0,'Less Often'
29,243.0,0,0.0,0.0,0.0,0.0,0,7.0,25.5,0.0,0.0,0,1.6,0,0,0,0,'Less Often'
30,128.0,0,0.0,0.0,0.0,0.0,0,6.0,11.4,0.0,0.0,0,0.9,0,0,0,0,'Less Often'
31,144.0,0,0.0,0.0,0.0,0.0,0,6.0,7.3,0.0,0.0,0,0.9,0,0,0,0,'Less Often'
32,98.0,0,0.0,0.0,0.0,0.0,0,4.0,3.5,0.0,0.0,0,0.8,0,0,0,0,'Less Often'
33,160.0,0,0.0,0.0,0.0,0.0,0,10.0,10.5,0.0,0.0,0,1.2,0,0,0,0,'Less Often'
34,202.0,0,0.0,0.0,0.0,0.0,0,11.0,13.4,0.0,0.0,0,1.5,0,0,0,0,'Less Often'
35,220.0,0,0.0,0.0,0.0,0.0,0,13.0,14.6,0.0,0.0,0,1.6,0,0,0,0,'Less Often'
36,156.0,0,0.0,0.0,0.0,0.0,0,5.0,16.0,0.0,0.0,0,1.8,0,0,0,0,'Less Often'
37,147.0,0,0.0,0.0,0.0,0.0,0,4.0,14.1,0.0,0.0,0,0.7,0,0,0,0,'Less Often'
38,188.0,0,0.0,0.0,0.0,0.0,0,19.0,18.8,0.0,0.0,0,0.9,0,0,0,0,'Less Often'
39,257.0,0,0.0,0.0,0.0,0.0,0,26.0,35.0,0.0,0.0,0,1.0,0,0,0,0,'Less Often'
40,133.0,0,0.0,0.0,0.0,0.0,0,23.0,3.8,0.0,0.0,0,1.0,0,0,0,0,'Less Often'
41,288.0,0,0.0,0.0,0.0,0.0,0,26.0,37.0,0.0,0.0,0,1.2,0,0,0,0,'Less Often'
42,258.0,0,0.0,0.0,0.0,0.0,0,22.0,35.0,0.0,0.0,0,1.0,0,0,0,0,'Less Often'
43,222.0,0,0.0,0.0,0.0,0.0,0,14.0,16.0,0.0,0.0,0,1.7,0,0,0,0,'Less Often'
44,222.0,0,0.0,0.0,0.0,0.0,0,14.0,16.0,0.0,0.0,0,1.7,0,0,0,0,'Less Often'
45,160.0,0,0.0,0.0,0.0,0.0,0,10.0,11.0,0.0,0.0,0,1.2,0,0,0,0,'Less Often'
46,160.0,0,0.0,0.0,0.0,0.0,0,10.0,11.0,0.0,0.0,0,1.2,0,0,0,0,'Less Often'
